Product Id;Product Handle;Product Title;Product Subtitle;Product Description;Product Status;Product Thumbnail;Product Weight;Product Length;Product Width;Product Height;Product HS Code;Product Origin Country;Product MID Code;Product Material;Product Collection Title;Product Collection Handle;Product Type;Product Tags;Product Discountable;Product External Id;Product Profile Name;Product Profile Type;Variant Id;Variant Title;Variant SKU;Variant Barcode;Variant Inventory Quantity;Variant Allow Backorder;Variant Manage Inventory;Variant Weight;Variant Length;Variant Width;Variant Height;Variant HS Code;Variant Origin Country;Variant MID Code;Variant Material;Product Year;Product Grape;Product Alchool;Product Brand;Product Region;Product Appelation;Product Description Brand;Product Description Year;Product Description Taste;Product Description Matching;Product Temperature;Product Prizes;Product Allergens;Product Best In Year;Product Best In Glass;Product Terroir;Product Bottle Production;Product Philosophy;Product Cork;Product Naming For Export;Variant IsAnonym;Price EUR;Option 1 Name;Option 1 Value;Image 1 Url;Image 2 Url;Image 3 Url;Sales Channel 1 Id;Sales Channel 1 Name;Sales Channel 1 Description;Product Category 1 Handle;Product Category 1 Name;Product Category 1 Description;Product Category 2 Handle;Product Category 2 Name;Product Category 2 Description;Product Category 3 Handle;Product Category 3 Name;Product Category 3 Description;Product Category 4 Handle;Product Category 4 Name;Product Category 4 Description
prod_01JA5S81SDGAM552F901SVD5KB;coppo-barbera-d-asti-camp-du-rouss-2021-magnum-1500-ml;"Coppo, Barbera d'Asti Camp du Rouss 2021, Magnum 1500 ml";"1,50";;draft;;;;;;;;;;store;store;;;true;v.8807.2021.c;Default Shipping Profile;default;variant_01JA5S82XCJ7NA31NW1VN0AWAV;Bevi Bene srl;;;2;false;true;;;;;;;;;;;;;;;;;;;;;;;;;;;;;false;48;Seller;Il Buon Vino srl;;;;Default Sales Channel;Default Sales Channel;Created by Medusa;;;;;;;;;;;;
prod_01JA5S7ZFBF3ER2ZYCGNVP6247;elio-perrone-barbera-d-asti-tasmorcan-2023-imperiale-5000-ml;"Elio Perrone, Barbera d'Asti Tasmorcan 2023, Imperiale 5000 ml";"5,00";;draft;;;;;;;;;;store;store;;;true;v.8265.2023.q;Default Shipping Profile;default;variant_01JA5S812JQ4PGXEQSMCCKCVG4;Bevi Bene srl;;;1;false;true;;;;;;;;;;;;;;;;;;;;;;;;;;;;;false;123;Seller;Vino Vini Vici srl;;;;Default Sales Channel;Default Sales Channel;Created by Medusa;;;;;;;;;;;;
